order_id,product_id,quantity
MSXQ-45152143,420,7
MSXQ-45152143,58,2
MSXQ-45152143,283,24
MSXQ-45152143,508,12
MSXQ-45152143,470,11
MSXQ-45152143,1204,8
MSXQ-45152143,456,10
MSXQ-45152143,189,8
MSXQ-45152143,766,8
LOSS-76956574,280,34
LOSS-76956574,626,44
LOSS-76956574,305,21
LOSS-76956574,596,14
LOSS-76956574,1226,10
LOSS-76956574,605,10
LOSS-76956574,1507,8
LOSS-76956574,583,15
LOSS-76956574,1594,16
LOSS-76956574,758,34
LOSS-76956574,1372,9
LOSS-76956574,383,26
LOSS-76956574,911,42
LOSS-76956574,1411,4
LOSS-76956574,379,32
LOSS-76956574,1433,3
LOSS-76956574,516,12
LOSS-76956574,508,26
LOSS-76956574,449,13
LOSS-76956574,624,22
OPAU-19106120,1238,15
OPAU-19106120,1528,12
OPAU-19106120,1527,13
OPAU-19106120,1320,18
OPAU-19106120,517,20
OPAU-19106120,1663,16
OPAU-19106120,606,22
OPAU-19106120,429,42
OPAU-19106120,646,30
OPAU-19106120,596,14
OPAU-19106120,930,36
OPAU-19106120,1573,5
BWJC-51197045,1409,5
BWJC-51197045,509,20
BWJC-51197045,530,6
BWJC-51197045,814,5
BWJC-51197045,352,12
BWJC-51197045,1350,4
BWJC-51197045,354,5
BWJC-51197045,611,6
BWJC-51197045,996,20
BWJC-51197045,1392,18
