order_id,product_id,quantity
DALF-47566548,1367,9
DALF-47566548,676,36
DALF-47566548,491,14
DALF-47566548,992,22
DALF-47566548,322,16
DALF-47566548,1286,16
DALF-47566548,1518,10
DALF-47566548,800,11
DALF-47566548,817,13
DALF-47566548,478,14
DALF-47566548,1352,22
DALF-47566548,644,36
DALF-47566548,312,14
DALF-47566548,1266,12
DALF-47566548,1573,4
DALF-47566548,1251,18
DALF-47566548,1250,21
DALF-47566548,39,42
DALF-47566548,566,34
DALF-47566548,514,13
BZHU-92977894,630,14
BZHU-92977894,452,9
BZHU-92977894,1657,32
BZHU-92977894,504,32
BZHU-92977894,1457,18
BZHU-92977894,347,9
BZHU-92977894,1426,22
BZHU-92977894,1383,40
BZHU-92977894,514,15
BZHU-92977894,519,38
BZHU-92977894,1171,40
BZHU-92977894,465,2
BZHU-92977894,138,22
BZHU-92977894,1311,6
BZHU-92977894,864,13
BZHU-92977894,208,3
BZHU-92977894,1057,15
BZHU-92977894,457,34
BZHU-92977894,1637,12
BZHU-92977894,601,18
MULT-10194362,922,16
MULT-10194362,1651,18
MULT-10194362,354,13
MULT-10194362,138,38
MULT-10194362,671,22
MULT-10194362,975,28
MULT-10194362,1293,17
MULT-10194362,452,17
MULT-10194362,1100,28
MULT-10194362,1394,26
MULT-10194362,380,40
MULT-10194362,189,20
MULT-10194362,793,15
MULT-10194362,787,12
MULT-10194362,379,32
CGLU-02678560,1191,10
CGLU-02678560,920,36
CGLU-02678560,1186,16
CGLU-02678560,722,20
CGLU-02678560,1072,7
CGLU-02678560,527,8
CGLU-02678560,313,36
CGLU-02678560,643,30
CGLU-02678560,1546,26
UFYZ-93434889,1585,3
UFYZ-93434889,217,18
UFYZ-93434889,870,15
UFYZ-93434889,1422,22
UFYZ-93434889,238,16
UFYZ-93434889,1054,22
UFYZ-93434889,799,22
UFYZ-93434889,1520,21
