order_id,product_id,quantity
PZUZ-70017989,474,11
PZUZ-70017989,555,18
PZUZ-70017989,752,21
PZUZ-70017989,550,17
PZUZ-70017989,877,10
PZUZ-70017989,278,36
PZUZ-70017989,750,11
PZUZ-70017989,1657,28
PZUZ-70017989,559,32
PZUZ-70017989,659,18
PZUZ-70017989,464,10
PZUZ-70017989,235,21
PZUZ-70017989,594,18
PZUZ-70017989,987,10
PZUZ-70017989,1379,24
PZUZ-70017989,160,18
PZUZ-70017989,1552,11
PZUZ-70017989,322,38
PZUZ-70017989,446,3
PZUZ-70017989,800,22
AWYQ-42527250,532,11
AWYQ-42527250,594,12
AWYQ-42527250,77,30
AWYQ-42527250,207,2
AWYQ-42527250,775,14
AWYQ-42527250,577,9
AWYQ-42527250,123,15
AWYQ-42527250,810,16
AWYQ-42527250,1158,18
