order_id,product_id,quantity
LTUP-23523349,435,42
LTUP-23523349,602,11
LTUP-23523349,1269,18
LTUP-23523349,465,3
LTUP-23523349,1574,4
LTUP-23523349,570,38
LTUP-23523349,189,30
LTUP-23523349,87,4
LTUP-23523349,1621,4
LTUP-23523349,27,24
LTUP-23523349,820,15
LTUP-23523349,469,21
LTUP-23523349,167,19
LTUP-23523349,1233,19
FDFV-66935725,351,21
FDFV-66935725,1320,40
FDFV-66935725,1190,18
FDFV-66935725,226,5
FDFV-66935725,1417,16
FDFV-66935725,524,22
FDFV-66935725,236,16
FDFV-66935725,761,4
FDFV-66935725,470,18
FDFV-66935725,1395,6
FDFV-66935725,894,10
FDFV-66935725,927,36
FDFV-66935725,1231,9
FDFV-66935725,635,18
FDFV-66935725,786,20
