order_id,product_id,quantity
JHJI-06258369,630,16
JHJI-06258369,1648,36
JHJI-06258369,1247,10
JHJI-06258369,91,20
JHJI-06258369,985,10
JHJI-06258369,461,17
JHJI-06258369,592,11
JHJI-06258369,817,10
EJHJ-34261015,462,12
EJHJ-34261015,423,28
EJHJ-34261015,1544,16
EJHJ-34261015,530,17
EJHJ-34261015,1203,3
EJHJ-34261015,1633,16
EJHJ-34261015,1158,22
EJHJ-34261015,1636,15
EJHJ-34261015,1408,5
EJHJ-34261015,605,17
EJHJ-34261015,813,24
EJHJ-34261015,291,15
EJHJ-34261015,658,34
EJHJ-34261015,1382,40
EJHJ-34261015,1583,2
EJHJ-34261015,525,3
EJHJ-34261015,402,12
EJHJ-34261015,787,18
EJHJ-34261015,62,6
EJHJ-34261015,448,14
