order_id,product_id,quantity
CUTE-03167571,363,2
CUTE-03167571,1643,40
CUTE-03167571,1604,4
CUTE-03167571,57,13
CUTE-03167571,2,14
CUTE-03167571,1418,14
CUTE-03167571,215,9
CUTE-03167571,1635,16
CUTE-03167571,498,11
CUTE-03167571,276,30
CUTE-03167571,80,16
CUTE-03167571,808,40
GPXU-57197024,1189,10
GPXU-57197024,1457,8
GPXU-57197024,495,20
GPXU-57197024,1530,19
GPXU-57197024,11,36
GPXU-57197024,596,17
GPXU-57197024,501,22
GPXU-57197024,1136,16
GPXU-57197024,167,12
GPXU-57197024,770,11
GPXU-57197024,470,15
GPXU-57197024,999,12
GPXU-57197024,644,16
GPXU-57197024,478,14
GPXU-57197024,1353,8
GPXU-57197024,492,15
