order_id,product_id,quantity
GJYI-32457466,583,12
GJYI-32457466,151,10
GJYI-32457466,785,8
GJYI-32457466,1593,36
GJYI-32457466,320,34
GJYI-32457466,921,42
GJYI-32457466,555,30
GJYI-32457466,812,30
GJYI-32457466,795,32
GJYI-32457466,116,18
GJYI-32457466,1373,13
GJYI-32457466,774,8
GJYI-32457466,55,24
GJYI-32457466,819,9
QCJH-04314542,480,9
QCJH-04314542,668,12
QCJH-04314542,424,24
QCJH-04314542,646,30
QCJH-04314542,231,7
QCJH-04314542,258,13
QCJH-04314542,1252,18
QCJH-04314542,809,42
QCJH-04314542,599,14
QCJH-04314542,811,18
QCJH-04314542,896,14
