order_id,product_id,quantity
NXWE-41906712,79,24
NXWE-41906712,25,32
NXWE-41906712,462,12
NXWE-41906712,1280,22
NXWE-41906712,603,18
NXWE-41906712,693,26
NXWE-41906712,1498,42
NXWE-41906712,890,17
NXWE-41906712,1192,8
NXWE-41906712,1298,15
NXWE-41906712,512,17
NXWE-41906712,814,18
NXWE-41906712,650,10
NXWE-41906712,1636,20
NXWE-41906712,290,12
NXWE-41906712,1543,22
NXWE-41906712,1286,20
NXWE-41906712,598,17
PYUL-99192751,254,12
PYUL-99192751,1600,4
PYUL-99192751,1172,36
PYUL-99192751,756,16
PYUL-99192751,1473,22
PYUL-99192751,789,12
PYUL-99192751,320,20
PYUL-99192751,578,4
