order_id,product_id,quantity
ZVTW-19610380,1476,4
ZVTW-19610380,643,34
ZVTW-19610380,791,14
ZVTW-19610380,1626,8
ZVTW-19610380,1113,8
ZVTW-19610380,495,14
ZVTW-19610380,1171,28
ZVTW-19610380,1517,11
ZVTW-19610380,940,15
ZVTW-19610380,1308,4
HENS-08313053,804,12
HENS-08313053,803,4
HENS-08313053,1301,5
HENS-08313053,1567,18
HENS-08313053,875,7
HENS-08313053,633,6
AEDO-27030558,1592,36
AEDO-27030558,360,26
AEDO-27030558,630,13
AEDO-27030558,639,9
AEDO-27030558,759,32
AEDO-27030558,910,44
AEDO-27030558,1410,6
AEDO-27030558,1122,7
AEDO-27030558,1548,16
AEDO-27030558,1467,18
AEDO-27030558,1657,34
AEDO-27030558,940,8
AEDO-27030558,468,4
MODK-23704077,512,10
MODK-23704077,500,21
MODK-23704077,975,26
MODK-23704077,545,21
MODK-23704077,567,42
MODK-23704077,1206,4
MODK-23704077,1527,22
MODK-23704077,1456,10
MODK-23704077,1030,3
MODK-23704077,472,8
MODK-23704077,617,40
MODK-23704077,1445,10
MODK-23704077,451,18
MODK-23704077,22,16
MODK-23704077,798,9
MODK-23704077,24,30
