order_id,product_id,quantity
URAE-04025723,1625,8
URAE-04025723,774,15
URAE-04025723,897,12
URAE-04025723,999,11
URAE-04025723,1454,8
URAE-04025723,391,4
URAE-04025723,62,8
URAE-04025723,1469,28
URAE-04025723,519,42
URAE-04025723,1293,22
URAE-04025723,1213,16
URAE-04025723,1656,22
URAE-04025723,35,38
URAE-04025723,1240,21
AHHL-14034446,11,38
AHHL-14034446,303,8
AHHL-14034446,786,19
AHHL-14034446,1676,19
AHHL-14034446,436,34
AHHL-14034446,807,44
AHHL-14034446,851,8
AHHL-14034446,1286,15
AHHL-14034446,809,32
AHHL-14034446,1186,9
AHHL-14034446,1540,13
AHHL-14034446,860,26
AHHL-14034446,1639,17
AHHL-14034446,1277,13
AOKF-39187086,492,15
AOKF-39187086,635,8
AOKF-39187086,17,20
AOKF-39187086,602,18
AOKF-39187086,900,18
AOKF-39187086,617,30
AOKF-39187086,898,8
AOKF-39187086,619,36
AOKF-39187086,1632,13
AOKF-39187086,1004,16
AOKF-39187086,750,8
ZMLG-27052418,576,10
ZMLG-27052418,782,16
ZMLG-27052418,1499,38
ZMLG-27052418,478,10
ZMLG-27052418,1462,15
ZMLG-27052418,1675,18
ZMLG-27052418,1626,20
ZMLG-27052418,895,21
ZMLG-27052418,1490,17
ZMLG-27052418,625,38
ZMLG-27052418,682,22
ZMLG-27052418,1342,19
ZMLG-27052418,1395,6
ZMLG-27052418,1223,5
ZMLG-27052418,1273,28
ZMLG-27052418,518,21
ZMLG-27052418,1648,40
ZMLG-27052418,1049,13
