order_id,product_id,quantity
ZREY-28717532,418,11
ZREY-28717532,113,3
ZREY-28717532,908,3
ZREY-28717532,1547,32
ZREY-28717532,1270,30
ZREY-28717532,547,11
ZREY-28717532,883,14
ZREY-28717532,1636,18
ZREY-28717532,928,28
ZREY-28717532,1257,19
ZREY-28717532,504,36
ZREY-28717532,330,10
TOST-59074807,609,11
TOST-59074807,1380,42
TOST-59074807,761,9
TOST-59074807,1359,22
TOST-59074807,1269,22
TOST-59074807,672,42
TOST-59074807,745,4
TOST-59074807,981,21
TOST-59074807,752,9
TOST-59074807,545,14
TOST-59074807,1667,18
TOST-59074807,496,14
TOST-59074807,64,20
TOST-59074807,1041,11
TOST-59074807,1656,20
