id,name,price
207,"Denon, AVR-S540BT",243.52
208,"Denon, AVR-X3700H",1305.52
209,"Denon, AVR-X4700H",1620.21
210,"Denon, AVR-X6700H",2050.31
211,"Denon, AVC-X4700H",1496.81
212,"Denon, AVR-S750H",430.49
213,"Denon, AVR-X1600H",504.44
214,"Denon, AVR-X2700H",870.77
363,"Harman Kardon, AVR 151",171.22
364,"Harman Kardon, AVR 1510S",240.41
365,"Harman Kardon, AVR 151S",270.74
366,"Harman Kardon, AVR 161S",352.03
367,"Harman Kardon, AVR 171",339.96
368,"Harman Kardon, AVR 1710S",489.26
369,"Harman Kardon, AVR 171S",392.47
370,"Harman Kardon, AVR 370",510.07
371,"Harman Kardon, HK 3770",486.62
445,"Heco, Avorio 300",344.89
446,"Heco, Avorio 500",504.26
660,"KEF, RX-A2",609.52
661,"KEF, RX-A3",747.59
662,"KEF, RX-A4",880.05
855,"Magnat, MMS 730",688.96
856,"Magnat, MMS 850",697.66
947,"Marantz, SR7015",2047.19
948,"Marantz, NR1200",609.37
949,"Marantz, NR1510",534.92
950,"Marantz, NR1711",664.58
951,"Marantz, SR5015",880.01
952,"Marantz, SR6015",1260.23
953,"Marantz, SR8015",2490.42
1033,"Onkyo, TX-RZ840",1260.03
1034,"Onkyo, TX-8270",588.31
1035,"Onkyo, TX-RZ50",1020.22
1036,"Onkyo, TX-SR393",348.92
1037,"Onkyo, TX-SR494",336.22
1077,"Pioneer, VSX-534",294.93
1078,"Pioneer, VSX-832",373.35
1079,"Pioneer, Elite SC-LX904",2490.19
1080,"Pioneer, SC-LX801",1640.02
1081,"Pioneer, SC-LX904",2699.12
1082,"Pioneer, VSX-LX504",1068.08
1083,"Pioneer, Elite SC-LX704",1312.33
1084,"Pioneer, Elite VSX-LX104",595.95
1085,"Pioneer, Elite VSX-LX303",711.85
1086,"Pioneer, Elite VSX-LX503",879.52
1087,"Pioneer, Elite VSX-LX504",1320.26
1088,"Pioneer, SC-LX502",830.98
1089,"Pioneer, SC-LX701",1218.68
1090,"Pioneer, SC-LX704",1335.14
1091,"Pioneer, VSX-933",415.41
1092,"Pioneer, VSX-LX303",720.26
1093,"Pioneer, VSX-LX305",860.65
1429,"Sony, STR-DH590",226.82
1430,"Sony, STR-ZA5000ES",2550.08
1431,"Sony, STR-DN1080",696.97
1432,"Sony, STR-ZA1100ES",830.98
1433,"Sony, STR-ZA810ES",984.23
1574,"Yamaha, RX-V385",249.26
1575,"Yamaha, RX-A3080",1935.7
1576,"Yamaha, RX-A6A",1780.65
1577,"Yamaha, RX-A8A",2125.47
1578,"Yamaha, RX-A1080",1078.59
1579,"Yamaha, RX-A2A",656.69
1580,"Yamaha, RX-A4A",1275.91
1581,"Yamaha, RX-A680",552.41
1582,"Yamaha, RX-V485",420.66
1583,"Yamaha, RX-V4A",534.99
1584,"Yamaha, RX-V6A",860.83
1585,"Yamaha, RX-V8A",1320.9
