id,name,price
16,"Adam Audio, T5V",340.14
57,"Audioengine, A2+",215.22
131,"Dali, Kubik Free Xtra",328.73
132,"Dali, Callisto 6 C",4005.21
133,"Dali, Rubicon 2",3420.75
134,"Dali, Rubicon 2 C",3230.71
135,"Dali, Callisto 2 C",2464.04
136,"Dali, Zensor 1 AX",567.24
137,"Dali, Zensor AX",688.3
215,"Denon, HEOS 5",311.76
216,"Denon, HEOS 7",498.68
249,"Dynaudio, LYD 5",528.29
254,"Edifier, R1280T",86.99
255,"Edifier, S2000MKIII",344.75
256,"Edifier, C2XD",99.9
257,"Edifier, Luna Eclipse",166.73
258,"Edifier, R1280DB",104.11
259,"Edifier, R1700BT",127.5
260,"Edifier, R1700BTs",149.43
261,"Edifier, S350DB",252.25
262,"Edifier, S350DB-WHITE",258.82
344,"Eve Audio, SC203",294.79
350,"Focal, Alpha 50",267.98
358,"Genelec, 8010A",284.38
372,"Harman Kardon, SoundSticks III",165.96
373,"Harman Kardon, SoundSticks Wireless",162.02
447,"Heco, Pulsar 100 A",132.88
448,"Heco, Pulsar 50 A",82.32
449,"Heco, Direkt Einklang",2784.3
450,"Heco, Ascada 2.0",653.3
451,"Heco, Ascada 2.0 BTX",520.88
452,"Heco, Ascada 300 BTX",623.32
540,"JBL, Professional 1 Series 104-BT",127.94
541,"JBL, LSR4328P",663.44
542,"JBL, PartyBox 1000",1080.35
543,"JBL, Control X Wireless",344.65
544,"JBL, EON ONE",703.21
545,"JBL, EON208P",729.22
546,"JBL, EON610",348.15
547,"JBL, EON612",405.06
548,"JBL, EON615",415.04
549,"JBL, LSR305",121.23
550,"JBL, PartyBox 200",351.17
551,"JBL, PartyBox 310",450.91
663,"KEF, LS50 Wireless II",2295.27
664,"KEF, EGG Duo",419.49
665,"KEF, LS50 Meta Wireless",2460.18
666,"KEF, LS50 Wireless II Meta",2905.76
667,"KEF, LSX",1012.63
668,"KEF, LSX II",1134.05
742,"KRK, Rokit RP5 G4",240.1
743,"KRK, Rokit RP7 G4",336.71
744,"KRK, Rokit RP8 G4",415.68
749,"Klipsch, ProMedia 2.1",128.41
750,"Klipsch, ProMedia Heritage 2.1",255.86
751,"Klipsch, The One II",246.4
752,"Klipsch, The Fives",640.74
753,"Klipsch, The Sixes",696.2
754,"Klipsch, The Three II",332.63
845,"M-Audio, BX5 D3",174.67
849,"Mackie, CR3-X",87.74
850,"Mackie, CR5-XBT",261.62
857,"Magnat, Multi Monitor 220",356.99
858,"Magnat, Multi Monitor 221",353.27
967,"Marshall, AS50D",332.71
968,"Marshall, Acton",129.06
969,"Marshall, Acton II",207.82
970,"Marshall, Acton II Bluetooth",208.5
971,"Marshall, Stanmore",284.34
972,"Marshall, Stockwell II",166.85
973,"Marshall, Uxbridge",168.83
1022,"Neumann, KH 80 DSP",516.43
1038,"Onkyo, HT-S3910",420.79
1094,"Pioneer, DM-40",127.59
1095,"Pioneer, MRX-7",264.26
1096,"Pioneer, S-DJ50X",212.61
1097,"Pioneer, XW-BTS3-K",120.76
1098,"Pioneer, XW-SMA1-K",252.18
1099,"Pioneer, XW-SMA4-K",348.58
1191,"PreSonus, Eris E3.5",90.4
1192,"PreSonus, Eris E4.5 BT",178.5
1193,"PreSonus, Eris E44",430.59
1194,"PreSonus, Eris E5 XT",210.62
1195,"PreSonus, Eris E7 XT",252.79
1196,"PreSonus, Eris E8 XT",356.79
1210,"Q-Acoustics, 4T Prestige",810.78
1211,"Q-Acoustics, Q Active 400",2025.19
1212,"Q-Acoustics, 2T",492.81
1213,"Q-Acoustics, 3T",356.32
1214,"Q-Acoustics, 4T",480.36
1215,"Q-Acoustics, BT3",308.99
1216,"Q-Acoustics, M20",400.07
1217,"Q-Acoustics, Q Active 200",1305.52
1509,"Wharfedale, DS-1",123.98
1510,"Wharfedale, DS-2",176.15
1511,"Wharfedale, DS-3",170.12
1512,"Wharfedale, DX-4",240.52
1586,"Yamaha, HS5",328.65
1587,"Yamaha, HS8",623.72
1588,"Yamaha, HS7",324.58
1589,"Yamaha, WXA-50",405.8
