id,name,price
21,"Anker, Soundcore Mini",20.26
22,"Anker, Soundcore Flare+",82.82
23,"Anker, Soundcore Motion B",67.6
24,"Anker, Soundcore Motion Boom",79.7
25,"Anker, Soundcore Motion+",82.96
76,"Bose, SoundLink Color II",110.6
77,"Bose, SoundLink Micro",89.63
78,"Bose, SoundLink Revolve",164.5
79,"Bose, SoundLink Revolve+",246.49
138,"Dali, Oberon 1 C",648.12
217,"Denon, Home 150",220.17
218,"Denon, Home 250",374.34
374,"Harman Kardon, Onyx Studio 7",415.13
375,"Harman Kardon, Citation 200",261.47
376,"Harman Kardon, Citation 300",328.91
377,"Harman Kardon, Go + Play",340.31
453,"Heco, Direkt 800 BT",1653.92
454,"Heco, Ambient 3 BTX",121.6
455,"Heco, Ambient 5 BTX",160.93
456,"Heco, Direkt BT",996.6
552,"JBL, Clip 3",58.91
553,"JBL, Flip 5",104.09
554,"JBL, Boombox 2",415.28
555,"JBL, Charge 4",159.13
556,"JBL, PartyBox 100",308.99
557,"JBL, Xtreme 2",308.7
558,"JBL, Xtreme 3",297.93
669,"KEF, LS50 Wireless",1848.21
670,"KEF, LSX Wireless",810.17
671,"KEF, LSX Wireless II",1305.03
672,"KEF, LSX Wireless II Meta",1530.4
755,"Klipsch, Groove",166.18
756,"Klipsch, Heritage Groove",126.73
757,"Klipsch, Reference Wireless RW-1",179.61
1100,"Pioneer, Club7",304.24
1218,"Q-Acoustics, BT-100",130.98
1219,"Q-Acoustics, BT-W1",144.38
1220,"Q-Acoustics, BT-W2",176.51
1434,"Sony, SRS-XB12",42.87
1435,"Sony, SRS-XB23",81.07
1436,"Sony, SRS-XB33",121.7
1437,"Sony, SRS-XB43",207.58
1491,"Tribit, XSound Go",31.03
1497,"Ultimate Ears, WONDERBOOM 2",61.61
1498,"Ultimate Ears, BOOM 3",126.85
1499,"Ultimate Ears, HYPERBOOM",328.36
1500,"Ultimate Ears, MEGABOOM 3",160.79
1513,"Wharfedale, Vista 50",66.54
1514,"Wharfedale, Vista 100 BT",107.47
1515,"Wharfedale, Vista 200S",130.8
1516,"Wharfedale, Vista 250S",174.67
