id,name,price
1,"AKG, D5",180.46
2,"AKG, D40",85.8
45,"Audio-Technica, ATM710",315.4
46,"Audio-Technica, ATM510",82.85
47,"Audio-Technica, ATM610a",116.1
48,"Audio-Technica, ATR2100x-USB",90.83
61,"Audix, OM2",84.91
63,"Behringer, XM1800S",33.94
64,"Behringer, XM8500",17.55
68,"Beyerdynamic, TG V50d",80.55
332,"Electro-Voice, RE320",261.79
333,"Electro-Voice, ND76",112.51
334,"Electro-Voice, PL80A",81.71
461,"Heco, Stage 100",36.59
462,"Heco, Stage 50",16.66
863,"Magnat, LZR 660",59.05
864,"Magnat, LZR 670",66.06
980,"Marshall, MXL 440",50.81
981,"Marshall, MXL 770",87.9
1041,"Onkyo, TM-150",100.91
1042,"Onkyo, TM-151",83.86
1204,"Pyle, PDMIC58",13.83
1298,"Rode, M1",90.45
1299,"Rode, M2",144.15
1335,"Sennheiser, e 835",85.56
1336,"Sennheiser, e 835-S",96.7
1337,"Sennheiser, e 845",97.28
1338,"Sennheiser, MD 441-U",764.29
1339,"Sennheiser, e935",148.0
1340,"Sennheiser, E 602",137.55
1341,"Sennheiser, E 609",104.62
1342,"Sennheiser, E 835S",103.95
1343,"Sennheiser, E 904",171.19
1344,"Sennheiser, E835",88.9
1345,"Sennheiser, e 602-II",130.44
1346,"Sennheiser, e 609 Silver",89.0
1347,"Sennheiser, e 835S",90.62
1348,"Sennheiser, e 901",204.48
1349,"Sennheiser, e 906",168.26
1350,"Sennheiser, e 935",152.18
1351,"Sennheiser, e835",87.05
1352,"Sennheiser, e945",189.43
1396,"Shure, PGA48",34.51
1397,"Shure, Beta 58A",137.89
1398,"Shure, SM58",98.1
1399,"Shure, Beta 57A",127.58
1400,"Shure, SM57",86.64
