id,name,price
110,"Cambridge Audio, AXA35",298.2
111,"Cambridge Audio, CXA60",656.06
112,"Cambridge Audio, CXA61",800.51
113,"Cambridge Audio, CXA81",984.35
226,"Denon, PMA-150H",672.11
227,"Denon, PMA-1600NE",984.55
228,"Denon, PMA-600NE",332.79
229,"Denon, PMA-800NE",534.99
393,"Harman Kardon, HK 3700",314.92
394,"Harman Kardon, HK 990",2340.08
395,"Harman Kardon, HK 3490",399.59
465,"Heco, Esprit 200",243.29
466,"Heco, Esprit 300",473.43
867,"Magnat, MA 1000",968.72
868,"Magnat, MA 900",890.38
956,"Marantz, PM5005",324.26
957,"Marantz, PM6006",609.01
958,"Marantz, PM6007",595.92
959,"Marantz, PM7000N",870.51
960,"Marantz, PM8006",1079.44
982,"Marshall, Origin20C",435.23
1015,"NAD, C 316BEE V2",340.83
1016,"NAD, C 368",756.74
1017,"NAD, C 388",1320.52
1044,"Onkyo, A-9110",280.94
1045,"Onkyo, A-9010",332.21
1046,"Onkyo, A-9070",800.1
1047,"Onkyo, A-9150",528.91
1114,"Pioneer, A-10AE",252.8
1115,"Pioneer, SX-S30",434.3
1116,"Pioneer, A-70",1080.5
1117,"Pioneer, A-10",128.45
1118,"Pioneer, A-20",207.83
1119,"Pioneer, A-40AE",533.16
1120,"Pioneer, A-50DA",756.13
1121,"Pioneer, A-70DA",1080.09
1603,"Yamaha, A-S201",206.82
1604,"Yamaha, A-S301",328.04
1605,"Yamaha, A-S1200",1740.95
1606,"Yamaha, A-S2200",2610.05
1607,"Yamaha, A-S3200SL",6090.02
1608,"Yamaha, A-S1100",1230.04
1609,"Yamaha, A-S501",522.95
1610,"Yamaha, A-S701",688.42
1611,"Yamaha, A-S701BL",720.49
1612,"Yamaha, A-S801",850.63
