id,name,price
3,"AKG, C414 XLII",935.11
4,"AKG, C214",356.02
5,"AKG, P120",86.13
6,"AKG, P220",132.47
49,"Audio-Technica, AT2020",88.46
50,"Audio-Technica, AT2035",125.04
51,"Audio-Technica, AT4040",249.11
65,"Behringer, C-1",41.37
73,"Blue, Snowball iCE",42.85
74,"Blue, Yeti Nano",80.19
75,"Blue, Yeti X",148.33
347,"Fifine, K669B",25.76
469,"Heco, Studio Pro 10",82.34
470,"Heco, Studio Pro 30",155.77
846,"MAONO, AU-PM421",30.0
847,"MXL, 770",71.14
848,"MXL, 990",69.93
869,"Magnat, LZR 700",67.61
870,"Magnat, LZR 750",79.99
983,"Marshall, MXL 990",70.49
1021,"Neewer, NW-800",22.98
1023,"Neumann, TLM 102",567.83
1049,"Onkyo, TM-84N",97.34
1300,"Rode, NT-USB Mini",82.61
1301,"Rode, NT1",240.34
1302,"Rode, NT1-A",191.86
1303,"Rode, NT2-A",324.69
1353,"Sennheiser, ME 2-II",115.72
1354,"Sennheiser, MK 8",594.99
1355,"Sennheiser, MKH 30",730.37
1356,"Sennheiser, MKH 416",869.45
1357,"Sennheiser, MKH 50",1143.9
1358,"Sennheiser, MKH 8020",729.11
1359,"Sennheiser, E 614",185.91
1360,"Sennheiser, E 614S",216.73
1361,"Sennheiser, MK 4",249.1
1362,"Sennheiser, MKE 600",293.11
1401,"Shure, MV5",85.94
1402,"Shure, SM7B",332.8
1474,"TONOR, Q9",25.5
1475,"TONOR, TC-777",35.23
