id,name,price
107,"BoyuuRange, MT-34 MKII",203.22
108,"Bravo Audio, V2",86.6
120,"Cary Audio, SLI-100",4250.26
121,"Cayin, HA-1A MK2",712.95
198,"DarkVoice, 336SE",205.58
246,"Douk Audio, Mini 6J1",50.61
247,"Douk Audio, P1",178.8
345,"FX AUDIO, TUBE-01",35.79
346,"Feliks Audio, Echo",581.11
471,"Heco, Tubes 100",1800.49
833,"Leben, CS600",4050.54
836,"Line Magnetic, LM-508IA",2800.94
837,"Little Dot, MKII",172.89
871,"Magnat, RV 3",2349.98
872,"Magnat, RV 4",2550.61
984,"Marshall, DSL40CR",630.66
1024,"Nobsound, NS-02E",43.57
1197,"PrimaLuna, EVO 200",2610.86
1198,"PrimaLuna, EVO 400",3480.41
1199,"PrimaLuna, EVO 100",2100.32
1292,"Reisong, A10 EL34",261.6
1317,"Schiit Audio, Schiit Vali 2+",132.63
1501,"Unison Research, Simply Italy",3520.76
1570,"YAQIN, MC-13S",425.42
1677,"Yaqin, MC-10T",328.93
