id,name,price
97,"Bowers & Wilkins, 704 S2",2460.94
98,"Bowers & Wilkins, 603 S2 Anniversary Edition",1320.9
116,"Canton, Chrono 509.2 DC",680.47
139,"Dali, Spektor 6",656.92
140,"Dali, Spektor 7",723.25
141,"Dali, Zensor 5",840.98
142,"Dali, Zensor 7",891.17
143,"Dali, Rubicon 6",2490.91
144,"Dali, Oberon 7",1204.06
145,"Dali, Oberon 7 C",1640.45
146,"Dali, Oberon 9",1660.26
147,"Dali, Opticon 6",1892.1
148,"Dali, Opticon 8",2580.7
149,"Dali, Zensor 5 AX",1275.72
200,"Definitive Technology, BP9020",890.38
250,"Dynaudio, Evoke 30",3045.27
285,"Edifier, R1580MB",264.63
286,"Edifier, R2730DB",344.41
287,"Edifier, R2730DB-BLACK",320.78
288,"Edifier, S90HD",410.02
327,"Elac, Debut 2.0 F6.2",435.67
351,"Focal, Chora 826",1548.47
396,"Harman Kardon, Citation Tower",2075.0
397,"Harman Kardon, HKTS 60",703.57
474,"Heco, Music Colors 200",356.83
475,"Heco, Victa Prime 502",498.37
476,"Heco, Celan Revolution 9",2100.12
477,"Heco, Elementa 700",2352.72
478,"Heco, Music Style 1000",2225.08
479,"Heco, Aurora 1000",1144.07
480,"Heco, Aurora 700",829.73
481,"Heco, Music Colors 100",704.85
482,"Heco, Music Style 900",1335.51
483,"Heco, Victa Prime 702",622.62
581,"JBL, Arena 170",528.45
582,"JBL, Arena 180",623.38
583,"JBL, Stage A190",729.81
584,"JBL, Studio 590",1720.28
585,"JBL, Studio 680",711.66
586,"JBL, Stage A170",630.71
587,"JBL, Stage A180",712.43
588,"JBL, Studio 270",792.55
589,"JBL, Studio 280",830.41
590,"JBL, Studio 580",1230.0
694,"KEF, Q550",995.85
695,"KEF, R5",2240.13
696,"KEF, Q750",996.02
697,"KEF, Q950",1759.14
698,"KEF, R11",3520.1
699,"KEF, R3",2050.48
765,"Klipsch, R-620F",440.15
766,"Klipsch, R-820F",522.78
767,"Klipsch, Forte IV",4005.83
768,"Klipsch, RF-7 III",2988.59
769,"Klipsch, R-610F",340.64
770,"Klipsch, R-625FA",648.83
771,"Klipsch, RP-280F",946.09
772,"Klipsch, RP-5000F",609.41
773,"Klipsch, RP-6000F",664.37
774,"Klipsch, RP-8000F",972.55
775,"Klipsch, RP-8060FA",1392.58
875,"Magnat, Monitor Supreme 1000",164.09
876,"Magnat, Monitor Supreme 2000",870.72
877,"Magnat, Tempus 55",393.88
878,"Magnat, Tempus 77",400.8
879,"Magnat, Quantum 1005",1215.32
880,"Magnat, Quantum 1009",2100.75
881,"Magnat, Quantum 1009S",1680.29
882,"Magnat, Quantum 753",900.67
883,"Magnat, Quantum 909",2670.99
884,"Magnat, Monitor Supreme 3000",405.65
885,"Magnat, Monitor Supreme 5000",567.49
886,"Magnat, Quantum 1003S",648.36
887,"Magnat, Quantum 755",648.54
888,"Magnat, Quantum 757",1080.06
889,"Magnat, Quantum 803",830.35
890,"Magnat, Quantum 807",1044.59
891,"Magnat, Quantum 809",1305.21
892,"Magnat, Signature 505",609.22
893,"Magnat, Signature 507",648.41
985,"Marshall, Woburn II Bluetooth",510.34
1001,"Monitor Audio, Silver 200",2125.48
1002,"Monitor Audio, Bronze 5",492.71
1128,"Pioneer, SP-FS51-LR",213.16
1129,"Pioneer, SP-FS52",214.02
1130,"Pioneer, Elite SP-EFS73",860.41
1131,"Pioneer, FS52",261.51
1132,"Pioneer, S-31-LR",656.93
1133,"Pioneer, S-31-LR-K",774.31
1134,"Pioneer, S-FS52-LR",331.93
1135,"Pioneer, S-FS73A",516.13
1181,"Polk Audio, T50",168.84
1182,"Polk Audio, Monitor 70 Series II",356.55
1231,"Q-Acoustics, 2040i",680.51
1232,"Q-Acoustics, 2050",609.41
1233,"Q-Acoustics, 2050i",504.84
1234,"Q-Acoustics, 3050",623.33
1235,"Q-Acoustics, 3050C",840.5
1236,"Q-Acoustics, 3050i",696.53
1237,"Q-Acoustics, Concept 40",1335.68
1293,"Revel, Concerta2 F36",2125.18
1455,"Sony, SSCS3",134.04
1478,"Tannoy, Revolution XT 6F",1080.48
1489,"Triangle, Borea BR08",623.41
1520,"Wharfedale, Heritage Linton",2250.55
1521,"Wharfedale, Linton Heritage",1760.55
1522,"Wharfedale, Diamond 10.7",1530.81
1523,"Wharfedale, Diamond 11.3",486.61
1524,"Wharfedale, Diamond 11.4",720.71
1525,"Wharfedale, Diamond 11.5",560.46
1526,"Wharfedale, Diamond 11.6",1080.79
1527,"Wharfedale, Diamond 11.7",1296.38
1528,"Wharfedale, Diamond 12.3",574.5
1529,"Wharfedale, Diamond 230",840.02
1530,"Wharfedale, Diamond 240",1335.45
1531,"Wharfedale, Evo 4.4",765.34
1622,"Yamaha, NS-6490",352.95
1623,"Yamaha, NS-F150",323.8
1624,"Yamaha, NS-F210",160.71
1625,"Yamaha, NS-F51",351.7
1626,"Yamaha, NS-555",533.53
1627,"Yamaha, NS-777",680.09
