id,name,price
90,"Bose, Virtually Invisible 591",298.17
99,"Bowers & Wilkins, CCM362",680.53
100,"Bowers & Wilkins, CWM663",480.93
150,"Dali, Fazon Mikro",328.91
151,"Dali, Phantom E-50",290.67
152,"Dali, Phantom E-60",340.86
153,"Dali, Phantom H-50",249.88
154,"Dali, Phantom M-250",1230.98
155,"Dali, Phantom S-180",2700.32
156,"Dali, Phantom S-280",4100.83
157,"Dali, Phantom S-80",2025.96
158,"Dali, Rubicon LCR",1740.85
159,"Dali, Fazon LCR",534.93
160,"Dali, Oberon On-Wall",492.2
161,"Dali, Oberon On-Wall C",648.53
162,"Dali, Phantom E-60 S",360.97
163,"Dali, Phantom E-80",440.75
164,"Dali, Phantom H-60",574.44
165,"Dali, Phantom H-80",731.98
201,"Definitive Technology, DI 6.5S",246.71
328,"Elac, Debut 2.0 OW4.2",160.54
352,"Focal, 100 OD8",261.59
398,"Harman Kardon, HKS 4BQ",126.79
399,"Harman Kardon, Citation Oasis",315.33
400,"Harman Kardon, Citation 500",405.97
401,"Harman Kardon, Onyx Studio 6",411.98
484,"Heco, Ambient 11F",127.74
485,"Heco, Ambient 22",104.83
486,"Heco, Ambient 22F",185.5
487,"Heco, Ambient 44F",355.9
488,"Heco, Ambient 88F",480.52
489,"Heco, Ambient 33F",290.74
490,"Heco, Ambient 44",180.47
591,"JBL, Studio 210",165.95
592,"JBL, Control 126W",202.93
593,"JBL, Control 24CT",135.29
594,"JBL, Control 28-1",301.85
595,"JBL, Control 29AV",392.2
596,"JBL, Control HST",252.52
597,"JBL, Control One Pro",132.93
598,"JBL, Control X",340.21
700,"KEF, T101",200.02
701,"KEF, T301",609.36
702,"KEF, Ci130QR",267.19
703,"KEF, Ci160CR",290.52
704,"KEF, Ci160QR",356.63
705,"KEF, Ci3160RL-THX",696.25
706,"KEF, Ci4100QL",356.84
707,"KEF, Ventura 5",246.56
776,"Klipsch, Gallery G-16",172.89
777,"Klipsch, R-41SA",218.19
778,"Klipsch, CP-6",304.54
779,"Klipsch, R-1650-W",162.86
780,"Klipsch, R-5650-S II",315.06
781,"Klipsch, R-5800-W",252.75
782,"Klipsch, R-5800-W II",267.99
783,"Klipsch, RP-500SA",440.2
784,"Klipsch, RP-600SA",440.42
785,"Klipsch, Reference Premiere Designer On-Wall",616.78
894,"Magnat, IC 82",123.92
895,"Magnat, ICQ 62",108.56
999,"Micca, M-8S",43.76
1003,"Monitor Audio, Climate 50",308.88
1004,"Monitor Audio, Radius 45",200.73
1005,"Monitor Audio, WT150-LCR",340.21
1051,"Onkyo, SKH-410",132.57
1067,"Paradigm, SA-15R-30",360.13
1136,"Pioneer, S-IW691",222.67
1137,"Pioneer, S-IC651",170.16
1138,"Pioneer, S-IC691A",180.42
1139,"Pioneer, S-IC821D",294.7
1140,"Pioneer, S-IC831A",258.79
1141,"Pioneer, S-IW871-LR",335.78
1142,"Pioneer, S-IW891L",356.29
1183,"Polk Audio, RC65i",85.6
1184,"Polk Audio, 70-RT",215.58
1205,"Pyle, PDIC60",36.19
1238,"Q-Acoustics, 1010i",156.77
1239,"Q-Acoustics, 2010",100.51
1240,"Q-Acoustics, 7000LRi",246.39
1241,"Q-Acoustics, 7000ST",172.58
1242,"Q-Acoustics, 7000i LR",210.39
1243,"Q-Acoustics, QI 65EW",210.77
1244,"Q-Acoustics, QI65C",126.45
1245,"Q-Acoustics, QI65CB",170.79
1246,"Q-Acoustics, QI65RP",150.35
1294,"Revel, Architectural by",830.68
1421,"Sonance, Visual Performance VP62R",396.79
1422,"Sonos, Architectural by Sonance",287.74
1486,"Triad, InRoom Bronze Surround",430.41
1532,"Wharfedale, DX-1SE",215.14
1533,"Wharfedale, DX-2",420.48
1628,"Yamaha, NS-AW150",96.33
1629,"Yamaha, NS-AW294",175.65
1630,"Yamaha, NS-IC600",224.24
1631,"Yamaha, NS-IC800",222.89
1632,"Yamaha, NS-AW194",126.03
1633,"Yamaha, NS-AW592",242.58
1634,"Yamaha, NS-IC400",127.55
1635,"Yamaha, NS-IC800BL",217.68
1636,"Yamaha, NS-IW660",258.23
