id,name,price
7,"AKG, K361",84.84
13,"ASUS, ROG Delta",111.86
14,"ASUS, ROG Strix Go 2.4",126.19
15,"ASUS, TUF Gaming H3",42.32
52,"Audio-Technica, ATH-M40X",89.56
69,"Beyerdynamic, DT 240 Pro",81.42
123,"Corsair, HS60 Pro",56.08
124,"Corsair, HS35",33.29
125,"Corsair, HS50",44.68
126,"Corsair, HS50 Pro",41.97
235,"Denon, AH-D9200",1290.73
236,"Denon, AH-D1200",160.44
289,"Edifier, HECATE GM2",124.93
290,"Edifier, HECATE GM3",166.41
291,"Edifier, HECATE GM3-GREEN",168.2
292,"Edifier, HECATE GM5-BLUE",249.13
293,"Edifier, T5-PLUS",210.33
294,"Edifier, G4 SE",50.15
295,"Edifier, G4 TE",56.21
296,"Edifier, K800",36.08
297,"Edifier, K800-PINK",33.68
491,"Heco, Voice 200",35.53
492,"Heco, Voice 500",62.68
534,"HyperX, Cloud Flight",127.96
535,"HyperX, Cloud II",86.77
536,"HyperX, Cloud Stinger Core",43.54
599,"JBL, Quantum 100",43.5
600,"JBL, Quantum 200",51.9
601,"JBL, Quantum 300",71.28
602,"JBL, Quantum One",255.17
603,"JBL, Quantum 400",85.58
604,"JBL, Quantum 600",109.71
605,"JBL, Quantum 800",132.85
655,"JVC, HA-L50B",12.54
659,"Jabra, Evolve 40",58.94
841,"Logitech, H390",21.04
842,"Logitech, G Pro X",113.51
843,"Logitech, G332",42.07
844,"Logitech, G432",64.87
896,"Magnat, LZR 760 ANC",164.01
897,"Magnat, LZR 760 BT",178.7
986,"Marshall, MID Bluetooth",151.4
987,"Marshall, Major III Bluetooth",132.78
988,"Marshall, Mode",58.41
1000,"Microsoft, LifeChat LX-3000",25.99
1011,"Mpow, 071",26.13
1052,"Onkyo, ED-PH0N3S",133.79
1065,"Panasonic, RP-HF100M-K",16.94
1143,"Pioneer, HDJ-X5",103.98
1144,"Pioneer, HDJ-X7",160.04
1180,"Plantronics, Audio 628",34.0
1285,"Razer, BlackShark V2",83.9
1286,"Razer, Kraken Tournament Edition",71.33
1287,"Razer, Kraken X",41.97
1363,"Sennheiser, PC 2 Chat",16.34
1364,"Sennheiser, PC 3 Chat",25.85
1365,"Sennheiser, PC 3.2 CHAT",16.84
1366,"Sennheiser, PC 5 Chat",31.69
1367,"Sennheiser, PC 7 USB",25.54
1368,"Sennheiser, PC 8",41.92
1369,"Sennheiser, PC 8 USB",32.69
1370,"Sennheiser, PC 8.2 CHAT",41.34
1371,"Sennheiser, SC 130 USB",34.62
1372,"Sennheiser, SC 135 USB",51.67
1373,"Sennheiser, SC 160 USB",82.35
1374,"Sennheiser, SC 165",65.61
1375,"Sennheiser, SC 165 USB",68.1
1376,"Sennheiser, SC 260 USB MS II",110.29
1377,"Sennheiser, SC 60 USB ML",62.9
1418,"Skullcandy, Riff Wireless",33.06
1456,"Sony, WH-CH510",54.0
1470,"SteelSeries, Arctis 1",41.59
1471,"SteelSeries, Arctis 3",57.81
1472,"SteelSeries, Arctis 5",84.24
1495,"Turtle Beach, Recon 70",33.61
