id,name,price
60,"Audioengine, A5+",430.31
101,"Bowers & Wilkins, 606 S2 Anniversary Edition",574.95
102,"Bowers & Wilkins, 607 S2 Anniversary Edition",688.76
117,"Canton, GLE 426.2",396.12
166,"Dali, Spektor 1",213.5
167,"Dali, Spektor 2",252.43
168,"Dali, Zensor 1",294.93
169,"Dali, Zensor 3",324.21
170,"Dali, Epicon 2",3320.78
171,"Dali, Menuet SE",1660.2
172,"Dali, Oberon 1",478.51
173,"Dali, Oberon 3",595.91
174,"Dali, Oberon 5",801.52
175,"Dali, Opticon 1",615.02
176,"Dali, Opticon 2",765.5
177,"Dali, Opticon 5",1320.98
202,"Definitive Technology, Demand D7",468.03
237,"Denon, SC-M41",123.54
238,"Denon, SC-M50",261.14
251,"Dynaudio, Emit M10",616.67
298,"Edifier, S3000Pro",680.77
299,"Edifier, S3000Pro-BROWN",352.73
300,"Edifier, P17",117.89
301,"Edifier, R1080BT",90.9
302,"Edifier, R1080BT-WOOD",83.82
303,"Edifier, R1280DB-WHITE",127.56
304,"Edifier, R1280DB-YELLOW",112.21
305,"Edifier, R1280DBs",123.08
306,"Edifier, R1280T-BROWN",101.67
307,"Edifier, R1700BT-BLACK",115.06
308,"Edifier, R1700BT-BLUE",108.45
309,"Edifier, R1850DB",178.37
310,"Edifier, R1850DBs",162.52
311,"Edifier, R2000DB",225.81
312,"Edifier, R980T",69.93
329,"Elac, Debut 2.0 B6.2",240.15
353,"Focal, Chora 806",792.26
402,"Harman Kardon, HKTS 16BQ",119.55
403,"Harman Kardon, HKTS 20BQ",266.78
404,"Harman Kardon, HKTS 30SAT-2",161.79
405,"Harman Kardon, Citation One MKII",173.72
406,"Harman Kardon, SoundSticks 4",254.41
493,"Heco, Aurora 200",243.84
494,"Heco, Aurora 300",245.93
495,"Heco, Music Style 200",205.35
496,"Heco, Music Style 500",352.77
497,"Heco, Victa Prime 102",128.29
498,"Heco, Victa Prime 202",155.42
499,"Heco, Victa Prime 302",175.89
500,"Heco, Celan GT 202",534.46
501,"Heco, Celan GT 302",640.98
502,"Heco, Elementa 200",364.56
503,"Heco, Elementa 300",383.04
606,"JBL, Arena 120",219.76
607,"JBL, Arena 130",264.8
608,"JBL, Stage A100",112.72
609,"JBL, Stage A120",128.26
610,"JBL, Stage A130",172.81
611,"JBL, L100 Classic",3600.39
612,"JBL, Arena 140",179.1
613,"JBL, Stage A140",144.27
614,"JBL, Studio 220",251.67
615,"JBL, Studio 230",257.97
616,"JBL, Studio 530",528.53
708,"KEF, Q150",504.89
709,"KEF, Q350",679.51
710,"KEF, LS50 Meta",1260.86
711,"KEF, LSX Soundwave Edition",1215.31
786,"Klipsch, R-14M",172.65
787,"Klipsch, R-15M",222.23
788,"Klipsch, R-41M",126.6
789,"Klipsch, R-51M",237.98
790,"Klipsch, RP-150M",308.71
791,"Klipsch, RP-160M",332.39
792,"Klipsch, RP-500M",344.45
793,"Klipsch, RP-500M II",373.85
794,"Klipsch, RP-600M",457.01
898,"Magnat, Monitor Supreme 100",89.82
899,"Magnat, Monitor Supreme 1002",480.12
900,"Magnat, Monitor Supreme 202",172.83
901,"Magnat, Quantum Edelstein",880.44
902,"Magnat, Interior IW 810",297.7
903,"Magnat, Interior IW 810X",322.62
904,"Magnat, Monitor Supreme 202A",252.84
905,"Magnat, Monitor Supreme 302",336.83
906,"Magnat, Monitor Supreme 502",415.3
907,"Magnat, Quantum 673",504.13
989,"Marshall, Stanmore II",320.24
1006,"Monitor Audio, Bronze 2",328.04
1068,"Paradigm, Monitor SE Atom",261.15
1145,"Pioneer, S-CN301-LR",84.42
1146,"Pioneer, SP-BS21-LR",86.39
1147,"Pioneer, SP-BS22-LR",117.36
1148,"Pioneer, Elite SP-EBS73",615.08
1149,"Pioneer, S-31B-LR",249.91
1150,"Pioneer, S-51B",312.26
1151,"Pioneer, S-A4SPT-PM",352.59
1152,"Pioneer, SP-BS22A-LR",155.37
1185,"Polk Audio, T15",68.13
1247,"Q-Acoustics, Concept 300",2160.26
1248,"Q-Acoustics, 1010",99.72
1249,"Q-Acoustics, 2000",111.38
1250,"Q-Acoustics, 2010i",128.2
1251,"Q-Acoustics, 3010i",200.37
1252,"Q-Acoustics, 3020",185.04
1253,"Q-Acoustics, 3020i",252.44
1254,"Q-Acoustics, 3030i",356.7
1255,"Q-Acoustics, Concept 20",510.96
1256,"Q-Acoustics, Q2020i",168.23
1295,"Revel, M16",800.18
1428,"Sonus Faber, Principia 3",572.48
1457,"Sony, SSCS5",107.54
1479,"Tannoy, Eclipse Mini",141.33
1490,"Triangle, Borea BR03",324.86
1534,"Wharfedale, Diamond 220",280.17
1535,"Wharfedale, Diamond 9.0",126.47
1536,"Wharfedale, Diamond 9.1",170.82
1537,"Wharfedale, Denton 80th Anniversary Edition",696.54
1538,"Wharfedale, Denton 85th Anniversary Edition",820.98
1539,"Wharfedale, Diamond 11.0",202.57
1540,"Wharfedale, Diamond 11.1",340.08
1541,"Wharfedale, Diamond 11.2",405.21
1542,"Wharfedale, Diamond 225",498.15
1637,"Yamaha, NS-333",220.58
1638,"Yamaha, NS-B310",132.92
1639,"Yamaha, NS-BP182",123.14
