id,name,price
33,"Anker, Soundcore 2",36.06
178,"Dali, Katch",287.68
179,"Dali, Katch G2",420.56
313,"Edifier, G15",79.76
314,"Edifier, G15-PLUS",88.26
315,"Edifier, G2000",68.26
316,"Edifier, G2000-PINK",71.46
317,"Edifier, MP380",83.91
318,"Edifier, MP700",125.03
407,"Harman Kardon, Aura Studio 3",246.89
408,"Harman Kardon, Onyx Studio 5",192.63
409,"Harman Kardon, Traveler",131.24
410,"Harman Kardon, Aura Studio 2",178.73
411,"Harman Kardon, Esquire 2",176.79
412,"Harman Kardon, Esquire Mini 2",135.47
413,"Harman Kardon, Esquire Mini 3",89.72
414,"Harman Kardon, Go + Play Mini",258.09
504,"Heco, Music Style 100",51.1
505,"Heco, Music Style 200 BT",252.84
617,"JBL, Clip 4",61.73
618,"JBL, GO 3",40.22
619,"JBL, Go 3",44.61
620,"JBL, Charge 5",157.54
621,"JBL, PartyBox On-The-Go",264.71
622,"JBL, Pulse 4",172.81
712,"KEF, Porsche Design Gravity One",574.46
713,"KEF, Porsche Design Gravity One Black",623.88
714,"KEF, Porsche Design Gravity One Blue",609.88
715,"KEF, Porsche Design Gravity One Champagne",588.17
716,"KEF, Porsche Design Gravity One Gold",574.54
717,"KEF, Porsche Design Gravity One Red",567.53
718,"KEF, Porsche Design Gravity One Silver",581.18
719,"KEF, Porsche Design Gravity One Space Grey",595.12
720,"KEF, Porsche Design Gravity One Titanium",574.87
721,"KEF, MUO",283.52
722,"KEF, Muo",267.55
723,"KEF, Muo Horizon",352.75
724,"KEF, Muo Metal",308.18
795,"Klipsch, Heritage Wireless One II",220.08
990,"Marshall, Emberton",129.25
991,"Marshall, Kilburn",130.82
992,"Marshall, Kilburn II",240.12
993,"Marshall, Tufton",332.0
1053,"Onkyo, CS-265",252.42
1153,"Pioneer, XW-SX50",170.1
1154,"Pioneer, XW-SX70",246.14
1492,"Tribit, StormBox",63.84
1493,"Tribit, StormBox Micro",44.16
1494,"Tribit, XBoom",78.64
1543,"Wharfedale, EXSON M",98.46
1544,"Wharfedale, Exson M",131.47
1545,"Wharfedale, Exson S",104.68
1546,"Wharfedale, Vista 100",88.23
1547,"Wharfedale, Vista 200",126.82
1640,"Yamaha, MusicCast 50",409.89
1641,"Yamaha, WX-010",174.88
1642,"Yamaha, WX-010BL",135.37
1643,"Yamaha, WX-030BL",174.34
