id,name,price
12,"ART, DJPREII",41.58
66,"Behringer, Microphono PP400",20.76
114,"Cambridge Audio, Azur 851N",1275.03
248,"Douk Audio, P2",64.9
340,"Emotiva, BasX PT-100",246.89
356,"Fosi Audio, P1 Tube",41.57
357,"Fosi Audio, T20",86.6
506,"Heco, Prelude 200",202.58
507,"Heco, Prelude 300",336.26
908,"Magnat, MR 760",630.44
909,"Magnat, MR 780",623.67
1013,"Musical Fidelity, MX-VYNL",890.77
1018,"NAD, C 165BEE",705.0
1025,"Nobsound, Mini",44.9
1026,"Nobsound, NS-10G PRO",61.27
1069,"Parasound, Halo P5",960.93
1155,"Pioneer, U-05-S",656.2
1203,"Pro-Ject, Audio Systems Pre Box S2 Digital",336.99
1206,"Pyle, P1001AT",89.63
1207,"Pyle, PP555",25.02
1291,"Rega, Fono Mini A2D",147.65
1318,"Schiit Audio, Schiit Saga+",328.29
1644,"Yamaha, WXC-50",294.69
