id,name,price
8,"AKG, K240",61.57
9,"AKG, K240STUDIO",58.95
10,"AKG, K701",166.4
11,"AKG, K92",49.56
53,"Audio-Technica, ATH-M20X",42.46
54,"Audio-Technica, ATH-M30X",56.83
55,"Audio-Technica, ATH-M50X",134.19
70,"Beyerdynamic, DT 770 PRO",125.11
71,"Beyerdynamic, DT 880 PRO",170.86
72,"Beyerdynamic, DT 990 PRO",158.91
239,"Denon, AH-C260R",43.41
319,"Edifier, H840",34.39
320,"Edifier, H840-GREY",42.06
321,"Edifier, H840P",40.05
322,"Edifier, H850",40.92
323,"Edifier, P841",60.32
415,"Harman Kardon, CL",104.61
416,"Harman Kardon, Soho II NC",242.89
508,"Heco, Stay 100",27.12
509,"Heco, Stay 300",43.95
623,"JBL, Quantum 50",25.86
624,"JBL, T450",25.21
625,"JBL, T460BT",36.1
626,"JBL, T290",35.52
627,"JBL, Tune 110",16.88
628,"JBL, Tune 500",26.5
656,"JVC, HA-RX330",26.45
725,"KEF, M200",163.27
726,"KEF, Porsche Design Space One",249.31
727,"KEF, Space One",283.32
796,"Klipsch, Heritage Headphones",489.61
821,"Koss, KPH30i",25.32
910,"Magnat, LZR 580",66.56
911,"Magnat, LZR 980",90.37
994,"Marshall, Mode EQ",63.25
1054,"Onkyo, ES-HF300",135.17
1066,"Panasonic, RP-HT161",17.65
1075,"Philips, SHP6000",40.79
1076,"Philips, SHP9500",57.64
1156,"Pioneer, SE-CH5T",67.34
1157,"Pioneer, SE-QL2T",42.32
1158,"Pioneer, SE-CH9T",96.58
1159,"Pioneer, SE-MHR5",220.16
1160,"Pioneer, SE-MS5T",121.64
1161,"Pioneer, SE-MX9",170.62
1378,"Sennheiser, HD 2.30",44.11
1379,"Sennheiser, HD 201",16.25
1380,"Sennheiser, HD 206",40.06
1381,"Sennheiser, HD 206 II",24.47
1382,"Sennheiser, HD 206G",24.91
1383,"Sennheiser, HD 300",67.81
1384,"Sennheiser, HD 660 S",414.81
1385,"Sennheiser, HD 800 S",1319.23
1386,"Sennheiser, HD 25",124.02
1387,"Sennheiser, HD 280 PRO",83.2
1388,"Sennheiser, HD 300 PRO",159.27
1389,"Sennheiser, HD 400S",63.65
1390,"Sennheiser, HD 559",128.17
1391,"Sennheiser, HD 560S",163.6
1392,"Sennheiser, HD 569",152.19
1393,"Sennheiser, HD 599",162.56
1403,"Shure, SRH440",83.69
1404,"Shure, SRH240A",48.66
1405,"Shure, SRH840",133.93
1419,"Skullcandy, Crusher",72.49
1420,"Skullcandy, Riff",35.63
1458,"Sony, MDRZX110/BLK",13.39
1459,"Sony, MDR-7506",88.16
1460,"Sony, MDR-XB450AP",33.45
1461,"Sony, MDR7506",80.6
1645,"Yamaha, HPH-50B",41.78
1646,"Yamaha, EPH-100",130.03
1647,"Yamaha, EPH-200",171.26
1648,"Yamaha, HPH-MT5",85.68
1649,"Yamaha, HPH-MT7",123.64
