id,name,price
335,"Electrohome, Karaoke Machine",176.59
336,"Electrohome, Karaoke Machine Speaker System",149.78
520,"Heco, KaraFun 100",172.11
521,"Heco, KaraFun 300",356.09
537,"ION Audio, Party Rocker Plus",280.48
538,"ION Audio, Block Rocker Plus",122.31
539,"ION Audio, Party Rocker Max",203.48
745,"KaraoKing, Karaoke Machine",74.82
746,"Karaoke USA, GF846",252.88
747,"Karaoke USA, GF842",172.72
748,"Karaoke USA, GF845",184.01
932,"Magnat, MC 350",467.84
933,"Magnat, MC 400",430.56
1208,"Pyle, Karaoke Vibe",130.69
1209,"Pyle, Portable Karaoke PA Speaker System",104.65
1406,"Singing Machine, SML385UW",58.47
1407,"Singing Machine, Carpool Karaoke",283.57
1408,"Singing Machine, Studio",267.08
1409,"Singsation, All-In-One Karaoke System",123.54
1410,"Singsation, Karaoke Machine",161.17
1411,"Singtrix, Party Bundle",261.81
1412,"Singtrix, Party Bundle Premium Edition",328.68
1413,"Singtrix, Home Karaoke System",315.88
1476,"TONOR, PA System Karaoke Machine",98.17
1506,"VocoPro, SmartTVOke Karaoke System",445.04
1507,"VocoPro, Karaoke System",264.9
1508,"VocoPro, KaraokeDual",210.98
1661,"Yamaha, YVS-120",504.39
1662,"Yamaha, YVC-200",215.93
