id,name,price
17,"Amazon, Echo Dot (4th Gen)",45.77
18,"Amazon, Echo (4th Gen)",87.31
19,"Amazon, Echo Dot (3rd Gen)",35.63
20,"Amazon, Echo Show 5",67.28
34,"Anker, Soundcore Flare Mini",34.46
35,"Anker, Soundcore Rave Mini",132.23
39,"Apple, HomePod mini",81.32
95,"Bose, Home Speaker 300",208.24
96,"Bose, Portable Smart Speaker",294.16
244,"Denon, Home 350",672.74
245,"Denon, Home 550",890.61
359,"Google, Nest Mini",42.82
360,"Google, Home Max",252.94
361,"Google, Nest Audio",83.58
362,"Google, Nest Hub",82.82
431,"Harman Kardon, Citation 100",246.08
432,"Harman Kardon, Citation 100 MKII",168.43
433,"Harman Kardon, Citation 100 MKIII",261.74
434,"Harman Kardon, Citation 200 MKII",218.43
435,"Harman Kardon, Citation 300 MKII",340.62
436,"Harman Kardon, Citation 50 MKII",172.39
437,"Harman Kardon, Citation 500 MKII",516.21
438,"Harman Kardon, Citation 500 MKIII",498.56
439,"Harman Kardon, Citation 700",609.21
440,"Harman Kardon, Citation Oasis 2",200.41
441,"Harman Kardon, Invoke",331.31
522,"Heco, Ascada 600",595.68
523,"Heco, Aleva GT 202",205.82
524,"Heco, Aleva GT 402",261.93
642,"JBL, Link 20",170.13
643,"JBL, Link Music",81.22
644,"JBL, Link Portable",151.97
645,"JBL, Link 10",85.72
646,"JBL, Link 300",172.75
647,"JBL, Link 500",246.3
813,"Klipsch, The Three",419.43
934,"Magnat, Prime Advanced",159.63
935,"Magnat, Prime Classic",157.21
996,"Marshall, Acton II Voice",217.88
997,"Marshall, Stanmore II Voice",340.69
998,"Marshall, Uxbridge Voice",164.17
1169,"Pioneer, MRX-3",171.33
1170,"Pioneer, MRX-5",217.36
1171,"Pioneer, FAYOLA FS-W40",405.5
1172,"Pioneer, FAYOLA FS-W50",492.45
1173,"Pioneer, XW-SX70-K",305.11
1426,"Sonos, Move",348.82
1427,"Sonos, One",166.86
1558,"Wharfedale, Vista 150",172.07
1559,"Wharfedale, Vista 300",202.76
1560,"Wharfedale, Vista 400",261.24
1561,"Wharfedale, Vista 450",311.89
1566,"Xiaomi, Mi Smart Speaker",36.04
1567,"Xiaomi, Mi Smart Clock",42.4
1568,"Xiaomi, Mi Smart Display",83.56
1569,"Xiaomi, XiaoAI Speaker Art",68.6
1663,"Yamaha, MusicCast 20",169.8
1664,"Yamaha, WX-021",126.59
1665,"Yamaha, WX-021BL",86.47
1666,"Yamaha, WX-051",266.27
1667,"Yamaha, WX-051BL",166.13
