id,name,price
105,"Bowers & Wilkins, HTM62 S2 Anniversary Edition",704.44
106,"Bowers & Wilkins, HTM72 S2 Anniversary Edition",630.21
119,"Canton, GLE 455.2",332.45
190,"Dali, Vokal",249.67
191,"Dali, Zensor Pico Vokal",178.18
192,"Dali, Zensor Vokal",332.25
193,"Dali, Epicon Vokal",2975.72
194,"Dali, Oberon Vokal",462.2
195,"Dali, Opticon LCR",738.81
196,"Dali, Opticon LCR MK2",774.45
197,"Dali, Opticon Vokal",664.63
204,"Definitive Technology, ProCenter 1000",258.27
253,"Dynaudio, Contour 25C",1275.68
331,"Elac, Debut 2.0 C5.2",170.48
355,"Focal, Chora Center",348.6
442,"Harman Kardon, HKTS 30C",207.44
527,"Heco, Aurora Center 30",213.13
528,"Heco, Victa Prime Center 102",123.89
529,"Heco, Celan GT Center 42",688.82
530,"Heco, Celan Revolution Center 4",480.73
531,"Heco, Center 32A",291.46
532,"Heco, Center 42A",369.25
533,"Heco, Music Style Center 2",305.11
648,"JBL, Arena 125C",217.75
649,"JBL, Stage A125C",176.48
650,"JBL, Stage A135C",213.5
651,"JBL, Arena 55IW",176.89
652,"JBL, Studio 225C",260.34
653,"JBL, Studio 235C",308.44
654,"JBL, Studio 520C",352.4
737,"KEF, Q250c",532.82
738,"KEF, T301c",420.86
739,"KEF, Q650c",595.66
740,"KEF, R2c",1349.61
741,"KEF, T101c",352.67
814,"Klipsch, R-34C",243.07
815,"Klipsch, R-52C",202.93
816,"Klipsch, RC-62 II",332.18
817,"Klipsch, RW-34C",217.56
818,"Klipsch, RP-404C",415.92
819,"Klipsch, RP-450C",534.72
820,"Klipsch, RP-504C",528.27
938,"Magnat, Monitor S10",104.87
939,"Magnat, Monitor Supreme Center 100",45.64
940,"Magnat, Monitor Supreme Center 252",215.87
941,"Magnat, Monitor Supreme Center 200",87.27
942,"Magnat, Monitor Supreme Center 252A",172.81
943,"Magnat, Monitor Supreme Center 500",135.88
944,"Magnat, Shadow Center 213",162.18
1009,"Monitor Audio, Bronze C150",200.95
1010,"Monitor Audio, Silver C150",298.14
1057,"Onkyo, TX-8220",223.1
1176,"Pioneer, SP-C21",80.51
1177,"Pioneer, SP-C22",89.08
1178,"Pioneer, S-7EX",1620.95
1179,"Pioneer, Elite SP-EC73",348.99
1189,"Polk Audio, CS10",88.17
1190,"Polk Audio, Signature S35",207.79
1277,"Q-Acoustics, 2000Ci",126.98
1278,"Q-Acoustics, 3030C",210.44
1279,"Q-Acoustics, 3090",107.46
1280,"Q-Acoustics, 3090C",153.16
1281,"Q-Acoustics, 3090Ci",168.09
1282,"Q-Acoustics, Concept Centre",324.41
1283,"Q-Acoustics, Concept Centre Plus",278.53
1284,"Q-Acoustics, Q-TV3",315.07
1297,"Revel, C25",792.03
1465,"Sony, SSCS8",102.82
1488,"Triad, Bronze Center",425.22
1562,"Wharfedale, Diamond 9.CS",128.08
1563,"Wharfedale, Diamond 11.CC",249.2
1564,"Wharfedale, Diamond 11.CS",240.48
1565,"Wharfedale, Diamond 220C",324.24
1673,"Yamaha, NS-C210",86.8
1674,"Yamaha, NS-C210BL",75.98
1675,"Yamaha, NS-C444",165.5
1676,"Yamaha, NS-C700",307.89
